"";"name";"url";"website";"email";"clutch_email"
"23";"Prospus";"https://clutch.co/profile/prospus";"http://www.prospus.com";NA;"solutions@prospus.com"
"24";"Intuz Cloud | Blockchain Development";"https://clutch.co/profile/intuz-cloud-blockchain-development";"https://www.intuz.com/blockchain";"info@intuz.com";"cloud@intuz.comNA"
"25";"Codete";"https://clutch.co/profile/codete";"http://www.codete.com";"mail@codete.com";"mail@codete.comNA"
"26";"TowerHouseStudio";"https://clutch.co/profile/towerhousestudio";"https://towerhousestudio.com";"info@newcloudnetworks.com";"info@towerhousestudio.com"
"27";"Lemlock";"https://clutch.co/profile/lemlock";"http://lemlock.com";NA;"hello@lemlock.com"
"28";"Unique Software Development LLC";"https://clutch.co/profile/unique-software-development";"http://www.uniquesoftwaredev.com";"//info@uniquesoftwaredev.com";"info@uniquesoftwaredev.com"
"29";"InsightWhale";"https://clutch.co/profile/insightwhale";"https://insightwhale.com/";NA;"team@insightwhale.com"
"30";"Pragmatic DLT";"https://clutch.co/profile/pragmatic-dlt";"https://pragmaticdlt.com/";"info@newcloudnetworks.com";"hello@pragmaticdlt.comNA"
"31";"TrillionBits Ltd.";"https://clutch.co/profile/trillionbits";"http://www.trillionbits.com";NA;"info@trillionbits.com"
"32";"APPNWEB ";"https://clutch.co/profile/appnweb";"https://www.appnwebtechnologies.com/";"info@newcloudnetworks.com";"q.rakesh@gmail.com"
"33";"Demand Solutions Group";"https://clutch.co/profile/demand-solutions-group";"http://www.demandsolutionsgroup.com";NA;"todd@demandsolutionsgroup.com"
"34";"Syntech Software";"https://clutch.co/profile/syntech-software";"http://syntech.software/";"office@syntech.software";"office@syntech.software"
"35";"SM Technology Group, LLC";"https://clutch.co/profile/sm-technology-group";"https://www.smtechnologygroup.com/";NA;"sales@smtechnologygroup.com"
"36";"Securonix";"https://clutch.co/profile/securonix";"https://www.securonix.com/";"info@newcloudnetworks.com";"info@securonix.com"
"37";"Avanade";"https://clutch.co/profile/avanade";"http://www.avanade.com/";"?subject=Business Solutions, Digital & Cloud Services - Avanade via Avanade&body=
Avanade is the leading provider of innovative digital and cloud services, business solutions and design-led experiences delivered through the Microsoft ecosystem'Business Solutions, Digital & Cloud Services - Avanade' at https://www.avanade.com/en";"information@avanade.com"
"38";"Kinetix Technology Services";"https://clutch.co/profile/kinetix-technology-services";"http://www.kinetix.com/";"moreinfo@kinetix.com";"moreinfo@kinetix.com"
"39";"TeamLogicIT";"https://clutch.co/profile/teamlogicit";"https://www.teamlogicit.com/sandycityut402/";"khughes@teamlogicit.com";"khughes@TeamLogicIT.comNA"
"40";"Open Systems Technologies, Inc. ";"https://clutch.co/profile/open-systems-technologies";"http://www.ostusa.com/solutions/enterprise/application-development";"info@ostusa.com";"info@ostusa.com"
"41";"Modus Create";"https://clutch.co/profile/modus-create";"http://moduscreate.com";NA;"contact@moduscreate.comNA"
"42";"Calabria Technology (Out Of Business)";"https://clutch.co/profile/calabria-technology-out-business";"http://www.calabriatechnology.com";"info@newcloudnetworks.com";"info@calabriatechnology.com"
"43";"Hi-Tech ITO";"https://clutch.co/profile/hi-tech-ito";"http://www.hitechito.com";"info@hitechito.com";"info@hitechito.com"
"44";"Intercity Technology Ltd";"https://clutch.co/profile/intercity-technology";"https://intercity.technology/";"info@newcloudnetworks.com";"sales@bairesdev.com"
"45";"ERP International";"https://clutch.co/profile/erp-international";"http://erpinternational.com";"mbravo@erpinternational.com";"resumes@erpinternational.com"
"46";"JK Technology";"https://clutch.co/profile/jk-technology";"http://jktech.com.sg/";"info@jktech.com.sg";"info@jktech.com.sg"
"47";"SailPoint";"https://clutch.co/profile/sailpoint";"https://www.sailpoint.com";NA;"info@sailpoint.comNA"
"48";"Revevol";"https://clutch.co/profile/revevol-0";"http://revevol.eu/";"info@newcloudnetworks.com";"marketplace@revevol.eu"
"49";"BlazeDream";"https://clutch.co/profile/blazedream";"https://www.blazedream.com";"reach@blazedream.com";"reach@blazedream.comNA"
"50";"Surety IT";"https://clutch.co/profile/surety-it";"https://www.suretyit.com.au/";"info@newcloudnetworks.com";"info@suretyit.com.au"
"51";"Bytecafe Consulting";"https://clutch.co/profile/bytecafe-consulting";"http://www.bytecafe.net/";NA;"info@bytecafe.net"
"52";"Varsity Technologies";"https://clutch.co/profile/varsity-technologies";"http://www.varsitytechnologies.com/";"info@newcloudnetworks.com";"info@varsitytechnologies.comNA"
"53";"Sentinel Technologies";"https://clutch.co/profile/sentinel-technologies";"https://www.sentinel.com/";NA;"info@sentinel.com"
"54";"Anblicks";"https://clutch.co/profile/anblicks";"http://www.anblicks.com/";"info@newcloudnetworks.com";"info@anblicks.comNA"
"55";"Architecting Innovation";"https://clutch.co/profile/architecting-innovation";"https://www.theaiteam.com/";NA;"nick@theaiteam.com"
"56";"Boxfusion Consulting";"https://clutch.co/profile/boxfusion-consulting";"http://www.boxfusionconsulting.com/";"info@newcloudnetworks.com";"contact@boxfusionconsulting.com"
"57";"C3 Business Solutions Inc.";"https://clutch.co/profile/c3-business-solutions";"http://www.c3biz.com";"info@c3biz.com";"info@c3biz.com"
"58";"4it Inc.";"https://clutch.co/profile/4it";"https://www.4it-inc.com/";"info@newcloudnetworks.com";"sales@4it-inc.com"
"59";"Intelligent Technical Solutions ";"https://clutch.co/profile/intelligent-technical-solutions";"http://itsasap.com";NA;"salesteam@itsasap.com"
"60";"ACP Technologies, Inc.";"https://clutch.co/profile/acp-technologies";"https://acp.us.com/";"info@newcloudnetworks.com";"sales@bairesdev.com"
"61";"HTG";"https://clutch.co/profile/htg";"http://www.htguk.com/";"info@htguk.com";"info@htguk.comNA"
"62";"HexaFusion IT Solutions";"https://clutch.co/profile/hexafusion-it-solutions";"http://www.hexafusion.com";"support@hexafusion.com";"sales@hexafusion.com"
"63";"Alvarez Technology Group";"https://clutch.co/profile/alvarez-technology-group";"https://www.alvareztg.com/";"info@alvareztg.com";"info@alvareztg.com"
"64";"Cybereason";"https://clutch.co/profile/cybereason";"https://www.cybereason.com/";"info@newcloudnetworks.com";"info@cybereason.com"
"65";"Virgin Media Business";"https://clutch.co/profile/virgin-media-business";"https://www.virginmediabusiness.co.uk/";NA;"services@virginmediabusiness.co.uk'"
"66";"Herjavec Group";"https://clutch.co/profile/herjavec-group";"https://www.herjavecgroup.com/";"info@newcloudnetworks.com";"sales@herjavecgroup.comNA"
"67";"Planet E-com Solutions Pvt. Ltd.";"https://clutch.co/profile/planet-e-com-solutions";"http://www.planetecomsolutions.com";NA;"mchopra@planetecomsolutions.com"
"68";"Digital Suite";"https://clutch.co/profile/digital-suite";"https://www.digitalsuite.cloud/";"info@digitalsuite.cloud";"info@digitalsuite.cloudNA"
"69";"Global Data Solutions Limited";"https://clutch.co/profile/global-data-solutions";"http://en.gds-services.com/";"marketing@gds-services.com";"marketing@gds-services.com"
"70";"BAASS";"https://clutch.co/profile/baass";"http://www.baass.com/";"info@newcloudnetworks.com";"advisors@baass.comNA"
"71";"Stimulus Web Design";"https://clutch.co/profile/stimulus-web-design";"http://www.stimuluswebdesign.com";"contact@stimuluswebdesign.com";"imran@stimuluswebdesign.comNA"
"72";"Nuspire Networks";"https://clutch.co/profile/nuspire-networks";"https://www.nuspire.com/";"info@newcloudnetworks.com";"info.na@nuspire.com"
"73";"PCMS Datafit";"https://clutch.co/profile/pcms-datafit";"http://www.pcmsdatafit.com/";NA;"mail@pcmsgroup.comNA"
"74";"Atlantix Global Systems";"https://clutch.co/profile/atlantix-global-systems";"http://www.atlantixglobal.com/";"service@atlantixglobal.com";"info@atlantixglobal.com"
"75";"Coretelligent";"https://clutch.co/profile/coretelligent";"https://coretelligent.com/";NA;"sales@bairesdev.com"
"76";"InfoSight, Inc.";"https://clutch.co/profile/infosight";"http://www.infosightinc.com/";"info@infosightinc.com";"info@infosightinc.com"
"77";"MBA IT";"https://clutch.co/profile/mba-it";"http://mba-it.com/";NA;"info@mba-it.com"
"78";"Kingdee";"https://clutch.co/profile/kingdee";"http://www.kingdee.com.hk/en/";"asiapac@kingdee.com.hk";"asiapac@kingdee.com.hkNA"
"79";"Telecom Computer";"https://clutch.co/profile/telecom-computer";"http://www.telecomcomputer.com/en/";NA;"sales@telecomcomputer.comNA"
"80";"Access Systems, Inc.";"https://clutch.co/profile/access-systems";"https://www.accesssystems.com/";"info@accesssystems.com";"info@accesssystems.comNA"
"81";"Lanware";"https://clutch.co/profile/lanware";"http://www.lanware.co.uk/";"enquiries@lanware.co.uk";"enquiries@lanware.co.uk"
"82";"FPA Technology Services Inc. ";"https://clutch.co/profile/fpa-technology-services";"https://www.fpainc.com";"info@newcloudnetworks.com";"info@fpainc.com"
"83";"IT Security C&T";"https://clutch.co/profile/it-security-ct";"https://www.itsecurityct.com/english.php";NA;"info@itsecurityct.com"
"84";"Ash Creek Enterprises";"https://clutch.co/profile/ash-creek-enterprises";"https://www.ashcreek.com/";"info@newcloudnetworks.com";"info@ashcreek.com"
"85";"Divine IT Limited";"https://clutch.co/profile/divine-it";"https://www.divineit.net/";NA;"sales@divineit.net"
"86";"Jade Global";"https://clutch.co/profile/jade-global";"http://www.jadeglobal.com/";"info@jadeglobal.com";"marketing@jadeglobal.com"
"87";"VIRTUS Data Centres";"https://clutch.co/profile/virtus-data-centres";"https://virtusdatacentres.com/";NA;"sales@virtusdcs.com"
"88";"ParamInfo";"https://clutch.co/profile/paraminfo";"http://www.paraminfo.com";"//info@paraminfo.com";"info@paraminfo.comNA"
"89";"B2E TECHNOLOGY PVT LTD";"https://clutch.co/profile/b2e-technology";"http://www.b2e.in";NA;"sales@bairesdev.com"
"90";"ixtel";"https://clutch.co/profile/ixtel";"https://ixtel.com/";"info@newcloudnetworks.com";"info@ixtel.comNA"
"91";"Amri Consulting";"https://clutch.co/profile/amri-consulting";"http://www.amriconsulting.com";"Tal-el@amriconsulting.com";"tal-el@amriconsulting.com"
"92";"Ardenta Limited";"https://clutch.co/profile/ardenta";"https://www.ardenta.com/";"
solutionsupport@uk.clara.net?Subject=Technical Support";"info@ardenta.com"
"93";"Kamatera";"https://clutch.co/profile/kamatera";"https://www.kamatera.com/";NA;"sales@kamatera.com"
"94";"Blue Cube";"https://clutch.co/profile/blue-cube";"https://www.bluecubesecurity.com/";"enquiries@bluecubesecurity.com";"enquiries@bluecubesecurity.comNA"
"95";"PS QuickIT PVT LTD";"https://clutch.co/profile/ps-quickit";"http://www.psquickit.com/";"careers@psquickit.com";"info@psquickit.com"
"96";"ITatOnce";"https://clutch.co/profile/itatonce";"http://www.itatonce.com/";"sales@itatonce.com";"info@itatonce.comNA"
"97";"The LLB Group";"https://clutch.co/profile/llb-group";"https://www.llbgrouptechsolutions.com/";"Info@llbgroup.com";"info@llbgrouptechsolutions.comNA"
"98";"Blacklight Solutions";"https://clutch.co/profile/blacklight-solutions";"http://www.blacklightsolutions.com";"contact@blacklightsolutions.com";"sales@blacklightsolutions.com"
"99";"Intuitive Networks, Inc.";"https://clutch.co/profile/intuitive-networks";"http://inicorp.net/";NA;"info@inicorp.net"
"100";"Jabtech";"https://clutch.co/profile/jabtech";"https://www.jabtech.net/";"helpdesk@enertronllc.com";"info@jabtech.netNA"
"101";"iauro Systems Pvt Ltd ";"https://clutch.co/profile/iauro-systems";"http://www.iauro.com";NA;"sales@iauro.com"
"102";"America One Technologies";"https://clutch.co/profile/america-one-technologies";"http://www.americatech.com/";"info@newcloudnetworks.com";"contact@americaonetechnologies.comNA"
"103";"FOTHION";"https://clutch.co/profile/fothion";"http://www.Fothion.com";"Contactus@fothion.com";"lisa@fothion.comNA"
"104";"JustRight Technology";"https://clutch.co/profile/justright-technology";"http://www.justright.com/";"info@newcloudnetworks.com";"info@justright.comNA"
"105";"Cadan Technologies";"https://clutch.co/profile/cadan-technologies";"https://cadan.com/";"sales@cadan.com";"sales@cadan.com"
"106";"First Stop IT";"https://clutch.co/profile/first-stop-it";"https://www.firststopit.co.uk/";"solutions@firststopit.co.uk";"solutions@firststopit.co.uk"
"107";"Secure IT Consult";"https://clutch.co/profile/secure-it-consult";"http://www.secureitconsult.com/";NA;"sales@secureitconsult.comNA"
"108";"AhnLab";"https://clutch.co/profile/ahnlab";"http://global.ahnlab.com/site/main.do";"global.sales@ahnlab.com";"global.sales@ahnlab.com"
"109";"Tier 3 Technology Solutions";"https://clutch.co/profile/tier-3-technology-solutions";"https://GoTier3.com";NA;"ask@tier3technology.com"
"110";"Oktacode.com";"https://clutch.co/profile/oktacode";"http://www.oktacode.com";"contact@oktacodecom";"contact@oktacode.com"
"111";"stepin solutions";"https://clutch.co/profile/stepin-solutions-0";"http://www.stepin-solutions.com";"hello@stepinsolutions.in";"hello@stepinsolutions.in"
"112";"Razorthorn";"https://clutch.co/profile/razorthorn";"http://www.razorthorn.co.uk/";"info@newcloudnetworks.com";"office@razorthorn.com"
"113";"Luminis UK Limited";"https://clutch.co/profile/luminis-uk";"https://www.luminis.eu/";"info@luminis.eu";"info@luminis.eu"
"114";"Northdoor";"https://clutch.co/profile/northdoor";"https://www.northdoor.co.uk/";"info@northdoor.co.uk";"info@northdoor.co.uk"
"115";"Virteva";"https://clutch.co/profile/virteva";"https://www.virteva.com/";"info@virteva.com";"info@virteva.com"
"116";"Radius Intelligence";"https://clutch.co/profile/radius-intelligence";"https://radiusintel.com/";"info@newcloudnetworks.com";"sales@radiusintel.com"
"117";"ICONSULTING";"https://clutch.co/profile/iconsulting";"https://www.iconsulting.biz/";"info@iconsulting.biz";"info@iconsulting.biz"
"118";"Convergence Consulting Group";"https://clutch.co/profile/convergence-consulting-group";"http://convergenceconsultinggroup.com/";"info@newcloudnetworks.com";"info@ccgbi.comNA"
"119";"Pictonio Lda.";"https://clutch.co/profile/pictonio-lda";"http://www.pictonio.com";"pictonio@pictonio.com";"pictonio@pictonio.com"
"120";"Advancedata Network";"https://clutch.co/profile/advancedata-network";"http://advancedatan.com";"sales@advancedatan.com";"sales@advancedatan.com"
"121";"NP - Managed Technology Services & Solutions";"https://clutch.co/profile/np-managed-technology-services-solutions";"http://www.np-projects.co.uk/";NA;"info@np-projects.co.uk"
"122";"Liontech Solutions";"https://clutch.co/profile/liontech-solutions";"http://liontech.ca";"info@liontech.ca";"connect@liontech.caNA"
"123";"Intrasoft Middle East";"https://clutch.co/profile/intrasoft-middle-east";"http://www.intracom.jo/";NA;"info@intrasoft.com.jo"
"124";"Robocom";"https://clutch.co/profile/robocom";"http://www.robocom.com/";"info@robocom.com?subject=Not sure Where to Start-Interest in Robocom";"info@robocom.com"
"125";"TARC Technology Solutions ";"https://clutch.co/profile/tarc-technology-solutions";"http://www.tarctechnology.com/";NA;"info@tarctechnology.com"
"126";"GiaSpace Inc";"https://clutch.co/profile/giaspace";"https://www.giaspace.com";"info@newcloudnetworks.com";"Support@Giaspace.comNA"
"127";"Directions Technology";"https://clutch.co/profile/directions-technology";"https://www.directionstech.com.au/";NA;"Lachlan@directionstech.com.au"
"128";"Qiniu Cloud";"https://clutch.co/profile/qiniu-cloud";"https://www.qiniu.com/en";"jubao@qiniu.com";"gaoqingfei@qiniu.com"
"129";"InterDyn Artis";"https://clutch.co/profile/interdyn-artis";"http://www.interdynartis.com/";"info@interdynartis.com";"sales@interdynartis.com"
"130";"FoxNet Inc.";"https://clutch.co/profile/foxnet";"http://www.foxnetsolutions.com/";"info@newcloudnetworks.com";"info@foxnetsolutions.com"
"131";"MVP Consulting Plus, Inc.";"https://clutch.co/profile/mvp-consulting-plus";"https://www.mvpconsultingplus.com/";NA;"reqs@mvpconsultingplus.comNA"
"132";"ITQ";"https://clutch.co/profile/itq";"https://itq-qatar.com/";"info@itq-qatar.com";"info@itq-qatar.comNA"
"133";"Zenzero";"https://clutch.co/profile/zenzero";"https://www.zenzero.co.uk/";"hello@zenzero.co.uk";"hello@zenzero.co.uk"
"134";"CompsDoc LLC";"https://clutch.co/profile/compsdoc";"http://www.compsdoc.com/";"info@newcloudnetworks.com";"Info@Compsdoc.com"
"135";"Dovetail Technologies";"https://clutch.co/profile/dovetail-technologies";"https://www.dovetail.ie/";"info@dovetail.ie";"info@dovetail.ieNA"
"136";"Synetek Solutions";"https://clutch.co/profile/synetek-solutions";"http://www.syneteksolutions.com/";"info@newcloudnetworks.com";"contact@synesolutions.com"
"137";"CrowdStrike";"https://clutch.co/profile/crowdstrike";"https://www.crowdstrike.com/";"services@crowdstrike.com";"info@crowdstrike.com"
"138";"Sapient Razorfish";"https://clutch.co/profile/sapient-razorfish";"https://www.sapientrazorfish.com/";"info@newcloudnetworks.com";"info@sapient.comNA"
"139";"Technigent";"https://clutch.co/profile/technigent";"http://www.technigents.com/";NA;"salessupport@technigents.comNA"
"140";"Netbooster";"https://clutch.co/profile/netbooster";"http://www.netbooster.com/";"info@newcloudnetworks.com";"info-uk@netbooster.comNA"
"141";"Lib13 Inc";"https://clutch.co/profile/lib13";"http://www.lib13.com";NA;"vaibhavb@lib13.com"
"142";"Digital Software Labs";"https://clutch.co/profile/digital-software-labs";"http://www.digitalsoftlabs.com/";"info@newcloudnetworks.com";"janardhan@digitalsoftlabs.com"
"143";"Node4";"https://clutch.co/profile/node4";"https://www.node4.co.uk/";NA;"info@node4.co.uk"
"144";"Heartland Business Systems ";"https://clutch.co/profile/heartland-business-systems";"http://www.hbs.net/";"info@newcloudnetworks.com";"sales@hbs.net"
"145";"Agio";"https://clutch.co/profile/agio";"https://agio.com/";"sales@agio.com?subject=Agio Inquiry";"sales@agio.com"
"146";"ho1a";"https://clutch.co/profile/ho1a";"http://www.ho1a.com/";"contacto@ho1a.com";"contacto@ho1a.com"
"147";"Tirzok Private Limited";"https://clutch.co/profile/tirzok-private";"http://www.tirzok.com/";NA;"info@tirzok.com'"
"148";"VirtualArmour";"https://clutch.co/profile/virtualarmour";"https://www.virtualarmour.com/";"info@newcloudnetworks.com";"marketing@virtualarmor.com"
"149";"LDeX Group Ltd";"https://clutch.co/profile/ldex-group";"https://www.ldexgroup.co.uk/";NA;"sales@ldexgroup.co.uk"
"150";"Pyxis";"https://clutch.co/profile/pyxis";"http://www.pyxisportal.com/";"info@newcloudnetworks.com";"info@pyxis.com.uy"
"151";"Nordcloud";"https://clutch.co/profile/nordcloud";"https://www.nordcloud.com/";"info@nordcloud.com";"info@nordcloud.com"
"152";"Freedom Consulting Group, Inc.";"https://clutch.co/profile/freedom-consulting-group";"https://freedomconsultinggroup.com/";"info@newcloudnetworks.com";"info@freedomconsultinggroup.com"
"153";"Comglobal IT";"https://clutch.co/profile/comglobal-it";"https://www.comglobalit.com/";NA;"info@comglobalit.com"
"154";"Keeran Networks";"https://clutch.co/profile/keeran-networks";"https://www.keeran.ca/";"questions@keeran.ca";"questions@keeran.caNA"
"155";"Aryvart";"https://clutch.co/profile/aryvart";"http://www.aryvart.com/";"salesinfo@aryvart.com";"contact@aryvart.com"
"156";"The GDR Group, Inc.";"https://clutch.co/profile/gdr-group";"https://www.gdrgroup.com/";" info@gdrgroup.com";"sales@gdrgroup.com"
"157";"Yunshan Networks";"https://clutch.co/profile/yunshan-networks";"https://www.yunshan.net/en/index.html";"info@yunshan.net.cn";"info@yunshan.net.cn"
"158";"TIKAJ";"https://clutch.co/profile/tikaj";"https://www.tikaj.com";"info@newcloudnetworks.com";"sales@tikaj.com"
"159";"SecureStrux LLC";"https://clutch.co/profile/securestrux";"http://securestrux.com/";"info@securestrux.com";"info@securestrux.comNA"
"160";"Cordeos Group";"https://clutch.co/profile/cordeos-group";"https://www.cordeos.com/";"info@newcloudnetworks.com";"sales@bairesdev.com"
"161";"Network Data Security Experts Inc. (NDSE)";"https://clutch.co/profile/network-data-security-experts-ndse";"https://www.ndse.net/";NA;"secure@ndse.net"
"162";"MyTGroup";"https://clutch.co/profile/mytgroup";"https://www.mytgroup.net";"info@mytgroup.net?subject=Front%20Page%20Website%20Inquiry";"listings@mytgroup.net"
"163";"iQuasar LLC";"https://clutch.co/profile/iquasar";"https://www.iquasar.com/";"info@iquasar.com";"Info@iQuasar.comNA"
"164";"A-IT Software Services Pte Ltd";"https://clutch.co/profile/it-software-services-pte";"http://www.aitsoftware.com/";"ithr@aitsoftware.com";"ithr@aitsoftware.com"
"165";"Prime Software";"https://clutch.co/profile/prime-software";"https://www.primesoft.ph/";NA;"Inquiry@primesoft.ph"
"166";"Tecnikal";"https://clutch.co/profile/tecnikal";"https://www.tecnikal.net/";"support@tecnikal.net";"support@tecnikal.net"
"167";"Intelli-NET";"https://clutch.co/profile/intelli-net";"https://www.intellinet-sc.com/";NA;"sales@bairesdev.com"
"168";"Rackstar";"https://clutch.co/profile/rackstar";"http://www.rackstar.co.uk/";"talk@cannyclever.co.uk?subject=Customer Enquiry";"sales@rackstar.co.uk"
"169";"Datashapa";"https://clutch.co/profile/datashapa";"https://www.datashapa.com/";"%69%6e%66%6f%40%64%61%74%61%73%68%61%70%61%2e%63%6f%6d";"info@datashapa.com"
"170";"TRIMIT";"https://clutch.co/profile/trimit";"http://www.trimit.com/";"info@newcloudnetworks.com";"info@trimit.comNA"
"171";"Techera";"https://clutch.co/profile/techera";"http://www.techeraperu.com/";NA;"ventas@techeraperu.com"
"172";"MarcSoft";"https://clutch.co/profile/marcsoft";"http://www.marc-soft.com";"info@newcloudnetworks.com";"info@marc-soft.com"
"173";"Ensitech";"https://clutch.co/profile/ensitech";"https://www.ensitech.com/";NA;"info@ensitech.comNA"
"174";"Bangladesh Consulting Ltd";"https://clutch.co/profile/bangladesh-consulting";"http://www.bdconsultingltd.com/";"info@newcloudnetworks.com";"'info@bdconsultingltd.comNA"
"175";"Mannya Techno Solutions Inc";"https://clutch.co/profile/mannya-techno-solutions";"https://www.mannyats.com/";"info@mannyats.com";"sales@mannyats.com"
"176";"RedBean Technologies INC";"https://clutch.co/profile/redbean-technologies";"http://www.redbeantechnologies.com";"info@newcloudnetworks.com";"info@redbeantechnologies.com"
"177";"Capital Network Solutions";"https://clutch.co/profile/capital-network-solutions";"https://www.cns-service.com/";"Help@cns-service.com";"Help@cns-service.com"
"178";"Custom Computer Services";"https://clutch.co/profile/custom-computer-services";"https://ccsw.co.uk/";"enquiries [at] ccsw [dot] co [dot] uk";"enquiries@ccsw.co.uk"
"179";"VOICE2insight";"https://clutch.co/profile/voice2insight";"http://www.voice2insight.com/";"sales@voice2insight.com";"sales@voice2insight.com"
"180";"VIQU Recruitment";"https://clutch.co/profile/viqu-recruitment";"https://www.viqu.co.uk/";"info@newcloudnetworks.com";"hello@viqu.co.uk"
"181";"Alleviate Technologies ";"https://clutch.co/profile/alleviate-technologies";"http://www.alleviatetech.com";"join@alleviatetech.com";"info@alleviatetech.com"
"182";"Cynosure Solutions";"https://clutch.co/profile/cynosure-solutions";"http://www.cynosure-solutions.com/";"info@newcloudnetworks.com";"info@cynosure-solutions.comNA"
"183";"IntelliNet";"https://clutch.co/profile/intellinet";"http://www.intellinet-canada.com/";NA;"sales@bairesdev.com"
"184";"kreuzwerker GmbH";"https://clutch.co/profile/kreuzwerker-gmbh";"https://kreuzwerker.de/en";"info@newcloudnetworks.com";"info@kreuzwerker.deNA"
"185";"M BIZTech Consulting Pvt. Ltd.";"https://clutch.co/profile/m-biztech-consulting";"https://www.mbiztech.net/";"info@mbizteh.net";"info@mbiztech.net"
"186";"Cognitive";"https://clutch.co/profile/cognitive";"https://cognitive-cs.com";"info@newcloudnetworks.com";"info@cognitive-cs.comNA"
"187";"Scriptics Decisions";"https://clutch.co/profile/scriptics-decisions";"https://scriptics.ro";"contact@scriptics.ro";"contact@scriptics.ro"
"188";"Excel Company Limited";"https://clutch.co/profile/excel-company";"https://www.excelcobd.com/";"bipul@atomixsyste.com";"info@atomixsystem.comNA"
"189";"Guava Software";"https://clutch.co/profile/guava-software";"https://guavasoftware.com/";"hello@guavasoftware.com";"hello@guavasoftware.com"
"190";"Thinking Hut IT Solutions Pvt. ltd.";"https://clutch.co/profile/thinking-hut-it-solutions";"http://www.thinkinghut.com";"contact@thinkinghut.com?Subject=Hello";"brijesh.nagdeote@thinkinghut.com"
"191";"Bits on Disk, LLC";"https://clutch.co/profile/bits-disk";"https://www.bitsondisk.com";"contact@bitsondisk.com";"contact@bitsondisk.com"
"192";"TainoSystems Inc.";"https://clutch.co/profile/tainosystems";"https://tainosystems.com/en/";"info@newcloudnetworks.com";"info@tainosystems.com"
"193";"Cooltimedia";"https://clutch.co/profile/cooltimedia";"http://cooltimedia.com/";NA;"proyectos@cooltimedia.com"
"194";"SOFTANIS";"https://clutch.co/profile/softanis";"http://softanis.com/";"info@newcloudnetworks.com";"admin@softanis.com"
"195";"Arxan Technologies";"https://clutch.co/profile/arxan-technologies";"https://www.arxan.com/";NA;"info@arxan.com"
